173.194.185.134 r1.sn-ab5sznld.a1.googlevideo.com
43.245.145.18 r7.sn-w5nuxa-c33ls.googlevideo.com
203.43.100.211 r8.sn-uxanug5-ntqel.googlevideo.com
177.67.200.45 r2.sn-piov8xjvhcg-o8ue.googlevideo.com
46.24.130.76 r1---sn-8vq54voxn25po-h5qk.googlevideo.com
49.44.67.140 r1---sn-gwpa-o5be.googlevideo.com
209.85.165.71 r2---sn-q4flrn7k.a1.googlevideo.com
49.44.142.209 r6---sn-gwpa-a0i6.googlevideo.com
185.239.154.140 r1.sn-njpxojx01-u5ne.googlevideo.com
41.79.197.105 r2---sn-nvhj5cax-ib5e.googlevideo.com
117.219.229.13 r2.sn-cnoa-2o9e.googlevideo.com
201.0.250.77 r2.sn-8p8v-bpbe.googlevideo.com
37.237.22.33 r14.sn-x5guiapo3uxax-cbfll.googlevideo.com
41.201.129.146 r7.sn-5abxgpxuxaxjvh-j1ae.googlevideo.com
200.240.237.47 r4.sn-5qtpoxu-jmwl.googlevideo.com
201.149.62.13 r2.sn-hjhuxaxjvh-hxme.googlevideo.com
196.203.56.12 r1---sn-u0opnp5o5-u0os.googlevideo.com
131.161.109.14 r3---sn-uxjioxujx-4vge.googlevideo.com
184.150.186.147 r8.sn-cxaaj5o5q5-tt1ee.googlevideo.com
172.217.132.41 r4.sn-5hne6nsk.googlevideo.com
89.16.131.143 r4---sn-uxaxjva0hc0n-nm4s.googlevideo.com
185.99.35.13 r2.sn-h5njv-cxtl.googlevideo.com
182.79.174.80 r5.sn-ci5gup-qxak.googlevideo.com
185.54.255.78 r3.sn-xaj5u-vnne.googlevideo.com
172.217.133.70 r1.sn-f5f7lne6.googlevideo.com
27.71.241.80 r5---sn-8pxuuxa-i5ozs.googlevideo.com
62.24.198.44 r1.sn-u5a3u5a3-h5oy.googlevideo.com
181.47.186.77 r2---sn-uxaxjxougv-x1xe7.googlevideo.com
181.176.244.78 r3---sn-8pxuuxa2xg0-aphl.googlevideo.com
186.231.74.46 r3.sn-uphcg51pa-bg0l.googlevideo.com
173.194.52.39 r2.sn-h557snsl.googlevideo.com
177.36.95.13 r2---sn-qxau5pouxgoxucg-hb4l.googlevideo.com
211.62.227.112 r5.sn-ab02a0nfpgxapox-u5xl.googlevideo.com
45.64.20.16 r5.sn-juh-h4hz.googlevideo.com
172.217.132.6 r1.sn-5hne6nsd.googlevideo.com
62.197.198.140 r1---sn-nf5o-cunl.googlevideo.com
201.0.237.204 r1.sn-8p8v-bg0r.googlevideo.com
185.47.188.13 r2.sn-2u3-2goe.googlevideo.com
173.194.154.39 r2---sn-qxa7snel.googlevideo.com
167.206.145.81 r6.cablenet-hpn2.googlevideo.com
46.134.193.79 r4.sn-u2oxu-f5fer.googlevideo.com
181.118.32.141 r2.sn-qpbpjxaugpop-2vnz.googlevideo.com
203.113.189.173 r2---sn-8pxuuxa-8j56.googlevideo.com
49.44.122.238 r3.sn-gwpa-b50z.googlevideo.com
76.75.54.76 r1.sn-8pnpvooxu-cpae.googlevideo.com
37.239.252.140 r1.sn-x5guiapo3uxax-ow4k.googlevideo.com
201.165.255.204 r1.sn-hxb5j5cax-ihvs.googlevideo.com
